,x,y,z
1005,133570.16585000002,1415600.5321,96.8009
1006,133568.6378,1415600.9164000002,96.92290000000001
1007,133568.05525,1415601.04755,96.79175000000001
1008,133567.4544,1415601.1909,96.7765
1009,133567.1494,1415601.26715,96.78564999999999
1010,133567.0701,1415600.80355,96.8131
1011,133567.3751,1415600.7242500002,96.76429999999999
1012,133568.27790000002,1415600.5077,96.77345000000001
1013,133568.8696,1415600.3613,96.7948
1014,133569.1685,1415600.29115,96.82225
1015,133569.47045,1415600.2148999998,96.8131
1016,133569.7724,1415600.1417,96.82225
1017,133570.07434999998,1415600.0685,96.81615
1018,133570.6813,1415599.91905,96.81615
1019,133571.5841,1415599.6933499998,96.807
1020,133571.88605,1415599.6232,96.8253
1021,133572.1941,1415599.54085,96.7765
1022,133572.7919,1415599.40055,96.83445
1023,133573.4019,1415599.2511000002,96.82225
1024,133574.00274999999,1415599.10165,96.8192
1025,133574.30165,1415599.0284499999,96.82225
1026,133574.5975,1415598.9583,96.8558
1027,133574.9025,1415598.879,96.83445
1028,133575.2075,1415598.8058000002,96.82835
1029,133576.40615,1415598.5191,96.91985
1030,133576.71725,1415598.4337,96.85275
1031,133577.6231,1415598.21715,96.9046
1032,133578.8248,1415597.9213,96.92595
1033,133579.1298,1415597.8420000002,96.9107
1034,133580.0448,1415597.61935,96.8924
1035,133580.34675,1415597.5431,96.87105
1036,133581.5576,1415597.24725,96.8985
1037,133581.8504,1415597.1801500001,96.96865
1038,133582.4726,1415597.02155,96.90154999999999
1039,133582.77455,1415596.9453,96.9168
1040,133583.07345,1415596.8782000002,96.9534
1041,133583.3693,1415596.8080499999,96.97779999999999
1042,133583.99455,1415596.6464000002,96.87715
1043,133584.3026,1415596.5670999999,96.85275
1044,133584.61065,1415596.4878,96.8192
1045,133586.43455,1415596.04555,96.88325
1046,133587.0415,1415595.89915,96.9046
1047,133587.9626,1415595.6642999998,96.84665000000001
1048,133588.5787,1415595.5118,96.8192
1049,133589.4815,1415595.29525,96.89545
1050,133589.78955,1415595.2159499999,96.88325
1051,133590.08235,1415595.1519,96.94425000000001
1052,133590.71675000002,1415594.9872,96.8436
1053,133593.16285,1415594.38635,96.88019999999999
1054,133593.47395,1415594.3101000001,96.88019999999999
1055,133593.7637,1415594.24605,96.9595
1056,133594.68175000002,1415594.02035,96.9473
1057,133594.98675,1415593.9441,96.94425000000001
1058,133595.30395,1415593.8617500002,96.88935000000001
1059,133595.62115,1415593.7793999999,96.83445
1060,133596.21895,1415593.6391,96.93509999999999
1061,133596.53615,1415593.5567500002,96.90765
1062,133598.98835,1415592.9559,96.92290000000001
1063,133598.39055,1415592.98945,96.9595
1064,133598.0825,1415593.0657000002,96.9595
1065,133597.78055,1415593.1389000001,96.929
1066,133597.46335,1415593.21515,96.94425000000001
1067,133597.1553,1415593.2914000002,96.94120000000001
1068,133596.8503,1415593.3676500001,96.94425000000001
1069,133596.54225,1415593.4378,96.9168
1070,133595.92614999998,1415593.58725,96.90154999999999
1071,133595.307,1415593.73975,96.90765
1072,133594.3859,1415593.9685,96.9168
1073,133594.07785,1415594.0417000002,96.8985
1074,133593.76979999998,1415594.11795,96.9168
1075,133592.8426,1415594.3467,96.94120000000001
1076,133592.23870000002,1415594.49005,96.8924
1077,133591.6287,1415594.6364499999,96.88325
1078,133591.31455,1415594.7126999998,96.8924
1079,133589.16735,1415595.2434,96.9046
1080,133587.6454,1415595.61245,96.88325
1081,133586.11735000001,1415595.9876,96.87105
1082,133585.8093,1415596.0608,96.8985
1083,133584.90649999998,1415596.28345,96.88325
1084,133584.59845000002,1415596.35665,96.87715
1085,133584.2904,1415596.43595,96.9046
1086,133583.6804,1415596.5854,96.8985
1087,133583.37235,1415596.6616500001,96.8985
1088,133582.15845000002,1415596.9575,96.8741
1089,133581.85955,1415597.02765,96.85884999999999
1090,133581.24345,1415597.1801500001,96.8924
1091,133580.9415,1415597.25335,96.87715
1092,133580.63955,1415597.3295999998,96.8924
1093,133580.3315,1415597.40585,96.89545
1094,133579.72149999999,1415597.5553,96.9046
1095,133579.41955,1415597.6285,96.90765
1096,133579.12065,1415597.7017,96.88935000000001
1097,133578.5137,1415597.8450500001,96.87715
1098,133578.20565,1415597.92435,96.90154999999999
1099,133577.90065,1415598.0036499999,96.92290000000001
1100,133577.60175,1415598.0676999998,96.8863
1101,133575.7809,1415598.51605,96.86495000000001
1102,133575.47285,1415598.5892500002,96.86495000000001
1103,133573.9631,1415598.9552499999,96.84665000000001
1104,133573.6642,1415599.0314999998,96.8253
1105,133573.05419999998,1415599.184,96.86189999999999
